"PairID","FirstYear","Site","AgeMaleFirst","AgeFemaleFirst","ExpMaleFirst","ExpFemaleFirst","MeanLaying","MeanFledge","Qlty","NbBreedYear","Outcome","BtwDiv"
"99674836_99695647",2006,"Q4",5,7,0,1,39,1,0.578947368421053,4,"DEAD",FALSE
"99683072_99683071",2002,"Q4",5,5,0,0,44.2,0.75,0.578947368421053,5,"DIV",TRUE
"99601685_99604217",1991,"Q4",5,6,0,0,37,0.5,0.578947368421053,2,"DIV",FALSE
"99662573_99604217",1994,"Q4",8,5,3,0,28,0.666666666666667,0.578947368421053,3,"DIV",FALSE
"99607237_99602117",1992,"Q5",11,5,NA,1,21,0.666666666666667,0.25,3,"DIV",FALSE
"99601685_99685510",2005,"Q11",5,20,0,14,46,0,0.45,2,"DEAD",FALSE
"99601685_99654127",1995,"Q11",9,10,4,4,22.1428571428571,0.222222222222222,0.45,9,"DEAD",FALSE
"118601179_99685510",2009,"Q11",9,5,4,0,39.6666666666667,1,0.45,3,"DEAD",FALSE
"99667191_99601684",1996,"Q12",11,5,4,0,32.1666666666667,0.75,0.684210526315789,13,"DEAD",FALSE
"118600238_99659564",2010,"Q13",22,5,17,0,46.5,1,0.722222222222222,2,"DEAD",FALSE
"99683075_99659564",2002,"Q13",14,5,9,0,37.1666666666667,0.8,0.722222222222222,7,"DEAD",FALSE
"99697025_99687819",2007,"Q16",4,5,0,0,42,0.333333333333333,0.611111111111111,4,"DEAD",TRUE
"99676599_99683076",2002,"Q16",5,7,0,2,41.8,0.5,0.611111111111111,5,"DEAD",FALSE
"99667192_99659563",1997,"Q17",9,6,4,0,24,0.333333333333333,0.5,3,"DEAD",FALSE
"99658352_118601118",2010,"Q19",6,18,1,2,44,1,0.571428571428571,2,"DEAD",FALSE
"99658352_99676597",2008,"Q19",13,16,8,0,33.5,1,0.571428571428571,2,"DEAD",FALSE
"99685519_99680539",2005,"Q21",9,5,4,0,44.5,1,0.625,4,"DEAD",FALSE
"99656419_99656413",1992,"Q21",5,5,0,0,38,1,0.625,2,"DEAD",FALSE
"99667194_99667193",1996,"Q22",5,5,0,0,21,0.75,0.473684210526316,4,"DEAD",FALSE
"99683078_99667193",2002,"Q22",11,5,6,0,40.2222222222222,0.857142857142857,0.473684210526316,9,"DEAD",FALSE
"99683030_99656411",2009,"Q23",22,7,17,0,34.5,0.333333333333333,0.3,3,"DEAD",FALSE
"99683080_99656411",2002,"Q23",15,5,10,0,34.8571428571429,0.5,0.3,7,"DEAD",FALSE
"99650031_99656411",1996,"Q23",9,7,4,0,36.5,0,0.3,2,"DEAD",FALSE
"99609101_99656411",1998,"Q23",11,10,6,0,21.3333333333333,0.25,0.3,4,"DEAD",FALSE
"99659562_84655042",1993,"Q24",14,5,NA,0,27.75,0.75,0.764705882352941,4,"DIV",FALSE
"99659562_99671519",1999,"Q24",5,11,0,6,31.6,1,0.764705882352941,5,"DEAD",FALSE
"99608482_99683077",2002,"Q25",5,14,0,6,42.5,0.625,0.736842105263158,10,"DEAD",FALSE
"99608482_99659561",1996,"Q25",8,8,3,0,26.3333333333333,0.8,0.736842105263158,6,"DEAD",FALSE
"99602028_99652526",1990,"Q26",5,9,NA,NA,24.4285714285714,0.666666666666667,0.904761904761905,7,"DIV",FALSE
"99670888_99652526",1998,"Q26",13,5,NA,0,23.3333333333333,1,0.904761904761905,6,"DEAD",FALSE
"99670888_118601119",2009,"Q26",5,16,0,11,41.3333333333333,1,0.904761904761905,3,"DEAD",FALSE
"99670888_99669969",2004,"Q26",7,11,0,6,40,1,0.904761904761905,5,"DEAD",FALSE
"99680540_99602029",2001,"Q27",20,5,NA,0,35,0.875,0.954545454545455,8,"DEAD",FALSE
"99654142_99602029",1991,"Q27",10,5,NA,0,16.3333333333333,1,0.954545454545455,9,"DEAD",FALSE
"99680540_118601116",2009,"Q27",5,13,0,8,37.6666666666667,1,0.954545454545455,3,"DEAD",FALSE
"99602116_99602244",1990,"Q28",9,9,NA,NA,27.4285714285714,0.894736842105263,0.85,21,"DEAD",FALSE
"99656421_99608586",1998,"Q29",10,11,5,5,28,0.75,0.842105263157895,9,"DEAD",FALSE
"99698201_99608586",2007,"Q29",19,5,14,0,38.75,1,0.842105263157895,4,"DEAD",FALSE
"99609445_99670825",2002,"Q31",9,14,4,11,31.7777777777778,1,1,9,"DEAD",FALSE
"99609445_99602110",1997,"Q31",16,9,NA,6,18.8,1,1,5,"DEAD",FALSE
"99654141_99602026",1992,"Q32",11,6,NA,1,39,0.5,0.823529411764706,2,"SAME",FALSE
"99608518_99601952",1994,"Q33",14,6,NA,3,17.4,0.8,0.85,5,"DIV",FALSE
"99676583_99664442",2003,"Q33",8,8,0,2,38.8888888888889,0.857142857142857,0.85,9,"DEAD",FALSE
"99660117_99698202",2009,"Q34",7,16,2,5,37,0.5,0.888888888888889,3,"DEAD",FALSE
"99660117_99670824",2004,"Q34",11,11,6,0,40,1,0.888888888888889,5,"DEAD",FALSE
"99602114_99604128",1993,"Q34",7,12,2,NA,22.5714285714286,0.833333333333333,0.888888888888889,7,"DEAD",FALSE
"99680541_99670824",2001,"Q34",8,5,3,0,25,1,0.888888888888889,2,"DEAD",FALSE
"99659407_99697039",2007,"Q35",5,14,0,3,40,1,0.875,4,"DEAD",FALSE
"78559219_99653714",1993,"Q35",8,8,NA,2,28,0.8,0.875,5,"DEAD",FALSE
"78559219_99670891",1998,"Q35",5,13,0,7,32.75,0.75,0.875,4,"DEAD",FALSE
"99602113_99653714",1991,"Q35",6,10,NA,0,27,1,0.875,2,"DEAD",FALSE
"99676921_99685523",2006,"Q36",6,6,1,0,40,0.75,0.7,6,"DEAD",FALSE
"99670890_99659567",1998,"Q36",10,5,5,0,24.5,0.833333333333333,0.7,6,"DEAD",FALSE
"99606725_99659567",1994,"Q36",6,7,1,3,20.5,1,0.7,2,"DEAD",FALSE
"99659570_99602107",1993,"Q37",12,5,2,0,26.8333333333333,0.833333333333333,0.857142857142857,6,"DEAD",FALSE
"99608518_99602107",1999,"Q37",18,11,8,8,36,0.666666666666667,0.857142857142857,3,"DEAD",FALSE
"99679694_99685522",2006,"Q37",6,5,1,0,35.5,1,0.857142857142857,6,"DEAD",FALSE
"99602133_99602107",1991,"Q37",10,10,0,NA,28.5,1,0.857142857142857,2,"DEAD",FALSE
"118601134_99664431",2009,"Q38",14,5,6,0,36.3333333333333,1,0.5625,3,"DEAD",FALSE
"99606725_99654105",1991,"Q38",5,4,0,0,33.3333333333333,0.666666666666667,0.5625,3,"DIV",FALSE
"99606799_99679697",2006,"Q39",5,19,0,13,42.2,1,0.941176470588235,5,"DEAD",FALSE
"78542830_99695648",2006,"Q40",5,27,0,NA,21,1,0.75,2,"DEAD",FALSE
"78542830_99601956",1990,"Q40",10,11,NA,NA,34.3333333333333,1,0.75,3,"DEAD",TRUE
"99609459_99667160",1996,"Q41",5,8,0,2,33.9333333333333,0.833333333333333,0.823529411764706,15,"DEAD",FALSE
"99656422_84655030",1992,"Q41",13,5,NA,0,38,0.5,0.823529411764706,2,"DIV",FALSE
"99656423_99601037",1992,"Q42",12,5,NA,0,37.5,1,0.722222222222222,2,"DEAD",FALSE
"99676595_99667159",2001,"Q42",10,6,5,0,35.2,1,0.722222222222222,5,"DEAD",FALSE
"99669903_99667159",2008,"Q42",17,11,12,0,36.3333333333333,0.5,0.722222222222222,3,"DEAD",FALSE
"99670889_99602025",1998,"Q43",17,5,NA,0,28.2857142857143,0.75,0.722222222222222,7,"DEAD",FALSE
"99602241_99602025",1991,"Q43",10,10,NA,0,30.5,0.5,0.722222222222222,2,"DEAD",FALSE
"99670889_99653340",2006,"Q43",16,13,8,8,38,0.666666666666667,0.722222222222222,4,"DEAD",FALSE
"99609445_99654150",1993,"Q44",7,5,2,2,27.75,0.5,0.611111111111111,4,"DIV",FALSE
"99670488_99654150",2003,"Q44",17,6,12,0,35,0.666666666666667,0.611111111111111,3,"DEAD",FALSE
"99679692_99697048",2007,"Q44",5,6,0,1,40,1,0.611111111111111,4,"DEAD",FALSE
"99608518_99602866",1991,"Q45",5,3,0,0,33.5,0.333333333333333,0.266666666666667,3,"DEAD",FALSE
"78558570_99610277",1991,"Q47",8,7,0,0,24.5714285714286,1,0.947368421052632,14,"DEAD",FALSE
"99669944_99610277",2005,"Q47",22,8,14,0,44.5,1,0.947368421052632,4,"DEAD",FALSE
"99669944_99687272",2009,"Q47",11,12,6,4,35.5,1,0.947368421052632,2,"DEAD",FALSE
"99607237_99601001",1995,"Q48",15,8,2,4,19,1,0.9,6,"DEAD",FALSE
"99653374_99680538",2009,"Q48",13,19,7,9,36.6666666666667,0.666666666666667,0.9,3,"DEAD",FALSE
"99607237_99680537",2002,"Q48",6,15,1,11,24,1,0.9,2,"DEAD",FALSE
"99608198_99662574",1994,"Q49",5,11,0,3,21.625,1,0.75,8,"DEAD",FALSE
"99676604_99685509",2005,"Q49",5,10,0,5,40.3333333333333,0.833333333333333,0.75,6,"DEAD",FALSE
"99676604_99670770",2002,"Q49",9,7,4,2,29,1,0.75,2,"DEAD",FALSE
"99608198_99660151",2002,"Q50",9,19,0,11,32,1,0.95,2,"DEAD",FALSE
"99658331_99660151",2004,"Q50",11,12,2,6,39,1,0.95,8,"DEAD",FALSE
"99654043_99602020",1991,"Q50",10,5,0,0,34.3333333333333,1,0.95,3,"DIV",FALSE
"99654043_99659548",1994,"Q50",6,8,1,3,20,0.666666666666667,0.95,3,"DIV",FALSE
"99662573_99659548",1997,"Q51",9,8,4,3,26,0.75,0.6,4,"DEAD",FALSE
"99662573_99680538",2005,"Q51",9,16,3,11,46.3333333333333,0,0.6,3,"DIV",FALSE
"99662573_99670823",2001,"Q51",8,12,3,7,36.75,1,0.6,4,"DEAD",FALSE
"99662573_118600081",2008,"Q51",0,19,0,14,35,1,0.6,2,"DEAD",FALSE
"99659549_99602018",1994,"Q51",13,6,3,0,26.25,0.5,0.6,4,"DEAD",FALSE
"99659549_99670823",1998,"Q52",5,10,0,4,28,0.5,0.4,2,"DEAD",FALSE
"99653374_99683073",2002,"Q53",5,12,0,2,25.4285714285714,0.857142857142857,0.666666666666667,7,"DIV",FALSE
"99601723_99654144",1991,"Q53",5,6,0,0,31.3333333333333,0.666666666666667,0.666666666666667,6,"SAME",FALSE
"118601135_99679695",2009,"Q54",8,5,3,0,35,0.5,0.5,2,"DEAD",FALSE
"99687268_99679695",2006,"Q54",5,8,0,3,44,0.666666666666667,0.5,3,"DEAD",FALSE
"99669597_78545518",1998,"Q55",17,6,NA,0,21.25,0.5,0.235294117647059,4,"DEAD",FALSE
"99662527_99687272",2004,"Q55",6,15,1,8,39.3333333333333,0.333333333333333,0.235294117647059,3,"SAME",FALSE
"99679699_99656261",2006,"Q57",15,5,6,0,45.5,1,0.631578947368421,2,"DEAD",FALSE
"99667197_99679660",2006,"Q59",5,15,0,10,38,1,0.842105263157895,4,"DEAD",FALSE
"99667197_78542835",1996,"Q59",17,5,5,0,25.1111111111111,0.75,0.842105263157895,10,"DEAD",FALSE
"99667197_99683071",2010,"Q59",13,19,8,14,44.5,1,0.842105263157895,2,"DEAD",FALSE
"99609493_99608524",1993,"Q62",5,5,0,0,23.3333333333333,0,0,4,"DIV",FALSE
"78560340_99604128",1991,"Q63",5,7,0,0,33.5,0,0.0625,2,"DEAD",FALSE
"99669946_99698202",2007,"Q63",5,10,0,4,43.5,1,0.0625,2,"DIV",FALSE
"99669946_99684918",2009,"Q63",7,12,0,6,36.5,0,0.0625,2,"DIV",FALSE
"99669962_99685520",2005,"Q65",5,8,0,2,48.5,1,0.75,2,"DEAD",FALSE
"99609493_99653391",2001,"Q67",11,13,5,8,34.2,0.777777777777778,0.692307692307692,11,"DEAD",FALSE
"99659652_99602112",1993,"Q70",12,5,NA,0,29.5,1,NA,2,"DEAD",FALSE
"118601250_118601180",2009,"Q84",5,5,0,0,33.5,1,0.4,2,"DEAD",FALSE
"78560228_99654144",1998,"QT5",12,14,7,1,31.2727272727273,0.714285714285714,0.6,12,"DEAD",FALSE
"99679693_99652936",2008,"QT11",18,7,13,2,41,1,0.75,3,"DEAD",FALSE
"99678712_99687270",2008,"QT14",10,8,5,3,39.3333333333333,0.5,NA,3,"DEAD",FALSE
"99697024_99664858",2007,"QT17",12,5,8,0,45,0.5,0.714285714285714,3,"DEAD",FALSE
"99679693_99687271",2006,"QT18",8,5,3,0,45.5,1,0.5,2,"DEAD",FALSE
"99659652_99663856",1997,"QBA1",7,9,2,4,19.5,1,0.666666666666667,2,"DEAD",FALSE
"99670901_99602117",1998,"QBA20",17,5,NA,0,27,1,NA,2,"DEAD",TRUE
